,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,"Menor distancia absoluta entre a cidade teste e a cidade da contratacao, que precisa ser menor do que a distancia atual (d) entre a cidade da contratacao (g) e a cidade do primeiro lugar do rodizio (h), ",,,,,
,,,,,,,,,,"se essa menor distancia absoluta for igual ou menor a 49k, esse contrato tem peso 0,5 porque há alternancia com a cidade do primeiro lugar do rodizio atual (h) ",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,"Quais cidades estao a menos de 48,49 (coluna d) de irará (coluna g)? quais delas correspondem como menor distancia que a atual em todas as linhas do produto ""mkt"" (coluna b) ?",,,,,
,,,,,,,,,,"Quais cidades estao a menos de 79 km (coluna d) de irará (coluna g)? quais delas correspondem como menor distancia que a atual em todas as linhas do produto ""mkt"" (coluna b) ?",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,sem risco é se o maior indicativo do google for menor que o possivel google para a cidade (considerando uma correção no sistema)  ,,
ID ,Sedes vinculadas ,Produto ,empresa do rodizio a menos de 49 km da cidade contratada? ,Distancia da primeira empresa do rodizio ,Segunda distância mais proxima,cep da Contratação ,cidade da contratação ,cidade do primeiro lugar do rodízio  (empresa fornecedora mais proxima) ,distancia google maps mais proxima do rodizio ,Cidades com empresas concorrentes  no produto da linha ,,,,,
27,1 Sede - Feira de Santana,FPI,não,"155,93","242,79",45.300-000,Amargosa,Feira de Santana,156; 160,"Salvador, Feira de Santana ","0,5","12° 38' 30.8684"" S 39° 40' 28.708"" W",,,
28,1 Sede - Feira de Santana,FPI,não,"115,11","193,89",44.572-060,Santo Antonio de Jesus,Feira de Santana,110; 109,"Salvador, Feira de Santana ","0,5",,,,
29,1 Sede - Feira de Santana,FPI,não,"191,74","277,92",45.310-970,Ubaíra,Feira de Santana,185; 193,"Salvador, Feira de Santana ","0,5",,,,
30,1 Sede - Feira de Santana,FPI,não,"228,15 empate","287,01",45.520-000,Maraú,Salvador,251; 222,"Salvador, Feira de Santana ",,,,,
31,1 Sede - Feira de Santana,FPI,não,"189,07","288,78",48.400-000,Ribeira do Pombal,Feira de Santana,184;189,"Salvador, Feira de Santana ","0,5",,,,
32,1 Sede - Feira de Santana,FPI,não,"160,86","279,65",44.695-000,Capim Grosso,Feira de Santana,162; 174,"Salvador, Feira de Santana ","0,5",,,,
33,1 Sede - Feira de Santana,FPE,não,"264,86","378,01",44.770-000,Pindobaçu,Feira de Santana,271; 273,"Feira de Santana, Lauro de Freitas, Salvador, Gandu, Itabuna, Vitória da Conquista",1,,,,
34,1 Sede - Feira de Santana,FPE,não,"223,57","336,41",44.700-000,Jacobina,Feira de Santana,226; 230,"Feira de Santana, Lauro de Freitas, Salvador, Gandu, Itabuna, Vitória da Conquista",1,,,,
35,1 Sede - Feira de Santana,FPE,sim,"39,57","152,68",44.670-049,Anguera,Feira de Santana,39; 40,"Feira de Santana, Lauro de Freitas, Salvador, Gandu, Itabuna, Vitória da Conquista",1,,,,
36,1 Sede - Feira de Santana,FPE,não,"682,65","757,55",47.800-970,Barreiras,Vitoria da Conquista,690; 695,"Feira de Santana, Lauro de Freitas, Salvador, Gandu, Itabuna, Vitória da Conquista",,,,,
37,1 Sede - Feira de Santana,FPE,não,74,"86,27",44.200-000,Santo Amaro ,Feira de Santana,51; 74,"Feira de Santana, Lauro de Freitas, Salvador, Gandu, Itabuna, Vitória da Conquista",1,,,,
38,1 Sede - Feira de Santana,FPE,sim,"40,74","153,9",44.160-000,Tanquinho ,Feira de Santana,41; 45,"Feira de Santana, Lauro de Freitas, Salvador, Gandu, Itabuna, Vitória da Conquista",1,,,,
39,1 Sede - Feira de Santana,FPE,não,"72,93","186,1",48.725-000,ICHU,Feira de Santana,71; 72,"Feira de Santana, Lauro de Freitas, Salvador, Gandu, Itabuna, Vitória da Conquista",1,,,,
40,1 Sede - Feira de Santana,FPE,não,"124,25","151,64",48.490-000,Inhambupe,Feira de Santana,124; 126,"Feira de Santana, Lauro de Freitas, Salvador, Gandu, Itabuna, Vitória da Conquista",1,,,,
41,1 Sede - Feira de Santana,FPE,sim,0,"135,24",45.600-185,Itabuna,Itabuna,0,"Feira de Santana, Lauro de Freitas, Salvador, Gandu, Itabuna, Vitória da Conquista",,,,,
42,1 Sede - Feira de Santana,FPE,não,"404,87",518,44.970-000,Ibipeba,Feira de Santana,404; 427,"Feira de Santana, Lauro de Freitas, Salvador, Gandu, Itabuna, Vitória da Conquista",1,,,,
43,1 Sede - Feira de Santana,FPE,não,"364,3",577,44.900-000,Irecê,Feira de Santana,363; 361,"Feira de Santana, Lauro de Freitas, Salvador, Gandu, Itabuna, Vitória da Conquista",1,,,,
44,1 Sede - Feira de Santana,FPE,sim,"35,95","149,08",44.125-000,Jaguara,Feira de Santana,35; cep m retornou,"Feira de Santana, Lauro de Freitas, Salvador, Gandu, Itabuna, Vitória da Conquista",1,,,,
